Natural Gas Feed (kmol/h),Steam Feed (kmol/h),Temperature (°C),Total Annual Cost (TAC) [$/h],Hydrogen Production  Nm^3/h,CO in Tail Gas [frac]
2140.6,3433.58,644.829,1.11E+08,136193,0.108731
1476.57,6142.35,632.043,7.73E+07,81392.2,0.0817627
1324.4,5157.3,609.763,6.80E+07,71490,0.0621685
2395.34,3860.38,600.736,8.59E+07,96575.2,0.0526261
1335,5489.41,624.423,7.18E+07,75881.4,0.0753815
1528.31,3380.49,608.519,7.61E+07,88464,0.0543796
1987.69,4946.66,643.514,9.84E+07,114502,0.0875866
1962.02,3609.65,628.621,9.59E+07,115050,0.0723097
1587.52,6211.89,641.732,8.29E+07,89001.2,0.090222
1451.23,5075.27,627.732,7.68E+07,84286.2,0.076748
1460.21,4076.55,607.419,7.22E+07,80524.9,0.0564124
1816.72,5570.45,642.95,9.14E+07,102483,0.0894312
2027.69,4745.95,604.693,8.18E+07,89498.8,0.054234
1908.79,5250,635.264,9.16E+07,103694,0.081321
2234.52,6319.3,618.692,9.00E+07,95565.6,0.0651516
2281.14,4031.22,649.858,1.15E+08,140898,0.0943437
1695.79,4402.74,609.971,7.81E+07,86889.2,0.0584341
2336.35,6101.56,610.136,8.84E+07,93306.7,0.0579016
1748,6352.23,614.401,7.87E+07,80892.7,0.0639819
1505.25,4179.83,612.563,7.50E+07,84210.7,0.0606692
1824.1,4559.51,614.965,8.28E+07,92910.2,0.0623507
1729.74,3890.77,600.058,7.56E+07,84696.7,0.050728
2250.03,3722.93,612.603,9.18E+07,106543,0.0615604
1362.29,4222,613.168,7.15E+07,79262.3,0.0616401
1508.3,4901.12,630.824,7.99E+07,88791.1,0.0785977
2275.81,5197.54,649.708,1.09E+08,127441,0.0936
1953.83,6067.22,625.97,8.76E+07,94283.6,0.0730273
1488.69,4354.12,606.964,7.23E+07,79607.4,0.0572695
2245.13,4562.44,601.284,8.38E+07,92093.7,0.0516369
1649.3,5839.17,615.01,7.71E+07,81259.8,0.0651043
1731.78,6151.44,644.032,8.82E+07,96105,0.0912601
1203.4,4699.49,609.263,6.53E+07,69300.4,0.0621314
1820.95,4982.75,644.703,9.37E+07,108354,0.0892604
1758.11,3594.78,625.279,8.92E+07,105864,0.0672368
2160.72,3948.54,622.476,9.56E+07,112169,0.068416
2145.75,4923.57,606.331,8.44E+07,92251.2,0.055578
1916.98,4032.15,621.806,8.94E+07,104362,0.0664889
2259.25,5035.68,601.511,8.37E+07,90642.1,0.0516951
1838.35,4428.28,620.082,8.55E+07,97542.5,0.066155
2391.33,3675.75,634.617,1.09E+08,132033,0.0867253
1322.03,5812.33,633.588,7.35E+07,77484.5,0.0838941
1245.35,5440.82,608.125,6.56E+07,67082.3,0.0618658
1919.7,3407.42,609.218,8.44E+07,98804.4,0.0580677
1895.51,4848.31,628.347,8.95E+07,101829,0.0737437
1284.23,5722.04,633.189,7.23E+07,76140.5,0.0838595
1735.57,4964.36,640.007,8.96E+07,101923,0.0853008
1992.27,5665.47,624.891,8.86E+07,97109.8,0.0717568
2398.04,3247.41,645.291,1.16E+08,138105,0.171775
2120.72,4733.23,646.274,1.05E+08,123755,0.0894977
2070.6,5621.56,618.894,8.77E+07,95629.9,0.0662621
2252.6,5326.67,610.768,8.80E+07,95776.3,0.0587756
